Serial_no,A1,A2,B
0,0.002739726,0.249315068,0.38630137
1,0.002739726,0.054794521,0.063013699
2,0,0.065753425,0.095890411
3,0.002739726,0.298630137,0.320547945
4,0,0.054794521,0.071232877
5,0,0.131506849,0.210958904
6,0,0.035616438,0.052054795
7,0,0.068493151,0.087671233
8,0.002739726,0.169863014,0.252054795
9,0,0.063013699,0.101369863
10,0.005479452,0.347945205,0.449315068
11,0,0.178082192,0.178082192
12,0,0.120547945,0.153424658
13,0.002739726,0.202739726,0.243835616
14,0,0.18630137,0.271232877
15,0.005479452,1.764383562,2.112328767
16,0.002739726,0.394520548,0.490410959
17,0,0.065753425,0.071232877
18,0,0.145205479,0.260273973
19,0.010958904,0.84109589,1.117808219
20,0.002739726,0.701369863,0.882191781
21,0.005479452,0.687671233,0.654794521
22,0,0.410958904,0.564383562
23,0.035616438,2.608219178,3.893150685
24,0,0.090410959,0.109589041
25,0,0.164383562,0.290410959
26,0.008219178,0.419178082,0.583561644
27,0,0.043835616,0.073972603
28,0.010958904,0.923287671,1.334246575
29,0,0.068493151,0.098630137
30,0,0.005479452,0.019178082
31,0,0.136986301,0.156164384
32,0.002739726,0.284931507,0.449315068
33,0,0.117808219,0.260273973
34,0,0.060273973,0.068493151
35,0,0.079452055,0.098630137
36,0.002739726,0.501369863,0.654794521
37,0,0.18630137,0.263013699
38,0,0.065753425,0.043835616
39,0,0.142465753,0.232876712
40,0,0.054794521,0.079452055
41,0.002739726,0.232876712,0.391780822
42,0.002739726,0.342465753,0.397260274
43,0,0.17260274,0.139726027
44,0.002739726,0.22739726,0.328767123
45,0,0.063013699,0.101369863
46,0,0.301369863,0.438356164
47,0.005479452,0.101369863,0.139726027
48,0,0.449315068,0.454794521
49,0,0.21369863,0.284931507
50,0,0.112328767,0.087671233
51,0,0.065753425,0.087671233
52,0,0.156164384,0.183561644
53,0.005479452,0.150684932,0.167123288
54,0,0.104109589,0.139726027
55,0,0.04109589,0.057534247
56,0,0.131506849,0.169863014
57,0.008219178,0.493150685,0.515068493
58,0,0.021917808,0.016438356
59,0,0.128767123,0.139726027
60,0.005479452,0.043835616,0.043835616
61,0,0.104109589,0.126027397
62,0,0.090410959,0.123287671
63,0,0.134246575,0.24109589
64,0,0.060273973,0.049315068
65,0.002739726,0.37260274,0.364383562
66,0.002739726,0.389041096,0.460273973
67,0,0.136986301,0.117808219
68,0.002739726,0.263013699,0.347945205
69,0,0.35890411,0.391780822
70,0.002739726,0.323287671,0.424657534
71,0,0.257534247,0.353424658
72,0.002739726,0.216438356,0.22739726
73,0,0.087671233,0.104109589
74,0.002739726,0.106849315,0.131506849
75,0,0.180821918,0.22739726
76,0,0.293150685,0.282191781
77,0.002739726,0.22739726,0.273972603
78,0,0.095890411,0.139726027
79,0.005479452,0.391780822,0.594520548
80,0.005479452,0.191780822,0.284931507
81,0.002739726,0.235616438,0.320547945
82,0,0.046575342,0.095890411
83,0.002739726,0.147945205,0.284931507
84,0.005479452,1.043835616,1.183561644
85,0.002739726,0.210958904,0.279452055
86,0,0.117808219,0.131506849
87,0.002739726,0.145205479,0.189041096
