A1,A2,B
0.003610726,0.372438356,0.38630137
0.003610726,0.081854584,0.063013699
0.000871,0.098225501,0.095890411
0.003610726,0.446107482,0.320547945
0.000871,0.081854584,0.071232877
0.000871,0.196451001,0.210958904
0.000871,0.053205479,0.052054795
0.000871,0.10231823,0.087671233
0.003610726,0.25374921,0.252054795
0.000871,0.094132771,0.101369863
0.006350452,0.519776607,0.449315068
0.000871,0.266027397,0.178082192
0.000871,0.180080084,0.153424658
0.003610726,0.30286196,0.243835616
0.000871,0.278305585,0.271232877
0.006350452,2.635717597,2.112328767
0.003610726,0.589353003,0.490410959
0.000871,0.098225501,0.071232877
0.000871,0.216914647,0.260273973
0.011829904,1.256467861,1.117808219
0.003610726,1.047738672,0.882191781
0.006350452,1.027275026,0.654794521
0.000871,0.613909378,0.564383562
0.036487438,3.896278188,3.893150685
0.000871,0.135060063,0.109589041
0.000871,0.245563751,0.290410959
0.009090178,0.626187566,0.583561644
0.000871,0.065483667,0.073972603
0.011829904,1.379249737,1.334246575
0.000871,0.10231823,0.098630137
0.000871,0.008185458,0.019178082
0.000871,0.204636459,0.156164384
0.003610726,0.425643836,0.449315068
0.000871,0.175987355,0.260273973
0.000871,0.090040042,0.068493151
0.000871,0.118689146,0.098630137
0.003610726,0.748969442,0.654794521
0.000871,0.278305585,0.263013699
0.000871,0.098225501,0.043835616
0.000871,0.212821918,0.232876712
0.000871,0.081854584,0.079452055
0.003610726,0.347881981,0.391780822
0.003610726,0.511591149,0.397260274
0.000871,0.257841939,0.139726027
0.003610726,0.339696523,0.328767123
0.000871,0.094132771,0.101369863
0.000871,0.450200211,0.438356164
0.006350452,0.15143098,0.139726027
0.000871,0.671207587,0.454794521
0.000871,0.319232877,0.284931507
0.000871,0.167801897,0.087671233
0.000871,0.098225501,0.087671233
0.000871,0.233285564,0.183561644
0.006350452,0.225100105,0.167123288
0.000871,0.155523709,0.139726027
0.000871,0.061390938,0.057534247
0.000871,0.196451001,0.169863014
0.009090178,0.736691254,0.515068493
0.000871,0.032741834,0.016438356
0.000871,0.192358272,0.139726027
0.006350452,0.065483667,0.043835616
0.000871,0.155523709,0.126027397
0.000871,0.135060063,0.123287671
0.000871,0.20054373,0.24109589
0.000871,0.090040042,0.049315068
0.003610726,0.55661117,0.364383562
0.003610726,0.581167545,0.460273973
0.000871,0.204636459,0.117808219
0.003610726,0.392902002,0.347945205
0.000871,0.536147524,0.391780822
0.003610726,0.482942044,0.424657534
0.000871,0.384716544,0.353424658
0.003610726,0.323325606,0.22739726
0.000871,0.130967334,0.104109589
0.003610726,0.159616438,0.131506849
0.000871,0.270120126,0.22739726
0.000871,0.437922023,0.282191781
0.003610726,0.339696523,0.273972603
0.000871,0.143245522,0.139726027
0.006350452,0.585260274,0.594520548
0.006350452,0.286491043,0.284931507
0.003610726,0.35197471,0.320547945
0.000871,0.069576396,0.095890411
0.003610726,0.221007376,0.284931507
0.006350452,1.559329821,1.183561644
0.003610726,0.315140148,0.279452055
0.000871,0.175987355,0.131506849
0.003610726,0.216914647,0.189041096
0.000871,0.020463646,0.024657534
0.000871,0.065483667,0.052054795
0.000871,0.323325606,0.24109589
0.000871,0.126874605,0.082191781
0.003610726,0.40108746,0.252054795
0.000871,0.208729189,0.232876712
0.000871,0.212821918,0.150684932
0.003610726,0.793989463,0.78630137
0.000871,0.020463646,0.010958904
0.003610726,0.331511064,0.293150685
0.000871,0.233285564,0.369863014
0.000871,0.077761855,0.063013699
0.000871,0.139152792,0.101369863
0.000871,0.184172813,0.194520548
0.017309356,1.113222339,1.175342466
0.000871,0.155523709,0.145205479
0.003610726,0.155523709,0.106849315
0.006350452,0.339696523,0.312328767
0.000871,0.188265543,0.128767123
0.000871,0.122781876,0.126027397
0.003610726,0.286491043,0.419178082
0.003610726,0.769433087,0.739726027
0.003610726,0.507498419,0.512328767
0.003610726,0.175987355,0.194520548
