,Longitude,Latitude,Post Name,Municipality,Neighbourhood
0,106.830772,-6.126071892,KLINIK ANCOL,North,ANCOL
13,106.9324311,-6.167483107,RUSUN CAKUNG BARAT,East,CAKUNG BARAT
15,106.8598993,-6.2562942,RSUD BUDI ASIH/TERMINAL TRANSJAKARTA CAWANG,East,CAWANG
16,106.8932535,-6.307681362,RSU ADHYAKSA,East,CEGER
19,106.8755315,-6.184525202,KANTOR KEC CEMPAKA PUTIH/RSU YARSI,Central,CEMPAKA PUTIH TIMUR
20,106.7285084,-6.144268955,PUSKESMAS CENGKARENG,West,CENGKARENG BARAT
22,106.8722209,-6.3498052,KEL CIBUBUR,East,CIBUBUR
23,106.8105415,-6.171594629,RSUD TARAKAN,Central,CIDENG
26,106.8368778,-6.1887195,KANTOR KEL CIKINI,Central,CIKINI
29,106.8083811,-6.3069825,KANTOR KEL CILANDAK TIMUR,South,CILANDAK TIMUR
32,106.9402752,-6.103704727,PUSKESMAS KEC CILINCING,North,CILINCING
34,106.800447,-6.3448119,KANTOR KEL CIPEDAK,South,CIPEDAK
38,106.8741147,-6.2248734,APARTEMENT BASSURA,East,CIPINANG BESAR SELATAN
40,106.8750944,-6.22805682,KANTOR KEC JATINEGARA,East,CIPINANG CEMPEDAK
44,106.875463,-6.3283208,KEL CIRACAS,East,CIRACAS
46,106.9186732,-6.232913245,KANTOR KEC DUREN SAWIT,East,DUREN SAWIT
48,106.7732634,-6.184999372,KANTOR KELURAHAN DURI KEPA,West,DURI KEPA
54,106.8177353,-6.1800387,KANTOR KEL GAMBIR,Central,GAMBIR
59,106.8108072,-6.1462964,KANTOR KELURAHAN GLODOK,West,GLODOK
60,106.8324373,-6.1903476,KANTOR KEL GONDANGDIA,Central,GONDANGDIA
66,106.7821132,-6.1938214,KANTOR KELURAHAN GUNUNG SAHARI,Central,GUNUNG SAHARI SELATAN
67,106.8342914,-6.15298,KANTOR KEL GUNUNG SAHARI,Central,GUNUNG SAHARI UTARA
72,106.8355555,-6.28461803,KANTOR KEC. PASAR MINGGU,South,JATI PADANG
79,106.7856084,-6.1469099,KANTOR KELURAHAN JEMBATAN LIMA,West,JEMBATAN LIMA
95,106.7028027,-6.1563614,KANTOR KEL KARANG ANYAR,Central,KARANG ANYAR
98,106.8191248,-6.2257994,KANTOR KEL KARET SEMANGGI,South,KARET SEMANGGI
104,106.8253237,-6.315463076,GUDANG FARMASI KEBAGUSAN,South,KEBAGUSAN
105,106.7785266,-6.249473954,KANTOR KECAMATAN KEB LAMA,South,KEBAYORAN LAMA SELATAN
